item_id,order_id,product_id,quantity,unit_price,total_price
1,1,27,5.0,723.71,3618.55
2,1,12,4.0,3418.86,13675.44
3,1,26,5.0,2888.62,14443.1
5,3,44,4.0,2264.75,9059.0
6,3,48,2.0,2604.75,5209.5
7,3,19,2.0,3328.37,6656.74
8,4,49,1.0,4110.27,4110.27
9,4,15,2.0,3396.7,6793.4
10,4,3,2.0,822.03,1644.06
11,5,50,1.0,3095.24,12380.96
12,5,41,1.0,2331.54,2331.54
13,6,16,4.0,2522.45,10089.8
14,6,1,2.0,3314.68,6629.36
16,8,8,1.0,2831.29,2831.29
17,8,30,4.0,753.36,3013.44
18,8,39,5.0,4940.67,24703.35
19,8,29,3.0,4755.19,14265.57
20,9,11,5.0,2284.98,11424.9
21,9,49,4.0,2305.34,9221.36
22,9,18,2.0,4215.33,8430.66
23,9,16,5.0,2474.53,12372.65
24,10,19,4.0,479.67,1918.68
25,10,21,2.0,1431.4,2862.8
26,10,10,5.0,494.83,2474.15
27,11,46,4.0,3500.35,14001.4
28,11,27,2.0,414.72,829.44
29,12,4,5.0,2383.03,11915.15
30,12,25,2.0,4181.17,8362.34
31,12,2,5.0,4735.7,23678.5
32,13,23,4.0,128.89,515.56
33,13,27,3.0,3792.03,11376.09
34,13,35,5.0,3762.83,18814.15
35,13,32,5.0,4499.28,22496.4
36,14,2,3.0,2235.6,6706.8
37,14,44,4.0,1747.03,6988.12
38,15,9,2.0,4218.48,8436.96
39,15,26,5.0,2717.21,13586.05
40,15,2,5.0,2865.52,14327.6
41,15,9,1.0,3249.47,3249.47
42,16,25,2.0,346.39,692.78
43,16,21,3.0,1137.14,3411.42
44,16,25,3.0,3830.03,11490.09
45,16,27,3.0,3784.85,11354.55
46,17,48,1.0,2404.5,2404.5
47,17,23,5.0,355.22,1776.1
48,17,50,2.0,3285.71,6571.42
49,18,13,1.0,4753.1,4753.1
50,19,9,5.0,846.67,4233.35
51,20,14,1.0,2863.45,2863.45
52,20,50,4.0,3527.38,14109.52
53,20,39,3.0,922.17,2766.51
54,20,11,1.0,3911.18,3911.18
55,21,20,1.0,2935.56,2935.56
56,21,25,5.0,3419.0,17095.0
57,21,13,4.0,4713.21,18852.84
58,22,41,5.0,3484.01,17420.05
59,23,20,1.0,3516.25,3516.25
60,23,37,5.0,4047.09,20235.45
61,24,43,3.0,2710.45,8131.35
62,25,22,1.0,2579.21,2579.21
63,25,32,1.0,4262.92,4262.92
64,25,24,1.0,2224.26,2224.26
65,26,47,2.0,2233.89,4467.78
66,26,18,5.0,4830.82,24154.1
67,26,35,5.0,4060.18,20300.9
68,26,47,4.0,2377.88,9511.52
69,27,6,3.0,4273.39,12820.17
70,27,16,3.0,4419.99,13259.97
