order_id,customer_id,order_date,status
1,81,2025-06-10,Pending
2,82,2024-09-26,Cancelled
3,78,2024-11-21,Completed
4,20,2026-03-01,Pending
5,98,2025-12-07,Completed
6,70,2024-08-26,Cancelled
7,999,2024-10-13,Cancelled
8,42,2026-03-05,Pending
9,3,2025-09-19,Completed
10,47,2025-01-17,Pending
11,31,2025-05-22,Completed
12,31,2025-06-25,Cancelled
13,11,2036-05-01,Completed
14,94,2025-04-24,Pending
15,9,2024-12-03,Cancelled
16,99,2025-05-17,Completed
17,17,2025-04-02,Cancelled
18,61,2026-02-14,Cancelled
19,22,2025-04-11,Pending
20,68,2026-03-29,Cancelled
21,55,2025-10-17,Completed
22,70,2025-11-09,Cancelled
23,89,2024-10-07,Completed
24,92,2026-06-20,Pending
25,52,2024-09-12,Cancelled
26,84,2024-12-01,Pending
27,57,2024-12-03,Cancelled
28,58,2026-03-11,Completed
29,32,2025-11-25,Completed
30,9,2024-09-10,Pending
31,3,2026-01-08,Cancelled
32,71,2024-10-05,Completed
33,76,2025-03-02,Completed
34,1,2025-07-13,Completed
35,91,2025-12-30,Cancelled
36,8,2025-06-28,Completed
37,9,2025-08-15,Completed
38,43,2025-11-17,Completed
39,66,2025-07-12,Completed
40,36,2025-06-20,Cancelled
41,63,2025-03-03,Completed
42,70,2025-01-17,Completed
43,93,2026-03-12,Cancelled
44,74,2025-09-04,Pending
45,32,2024-10-30,Pending
46,53,2025-04-28,Completed
47,13,2025-07-02,Completed
48,85,2024-10-28,Pending
49,46,2025-03-11,Pending
50,53,2026-01-11,Pending
51,94,2026-01-11,Completed
52,87,2025-11-06,Cancelled
53,83,2025-08-15,Completed
54,8,2025-09-16,Pending
55,94,2026-01-03,Pending
56,14,2025-03-30,Completed
57,25,2024-09-07,Completed
58,69,2025-01-21,Pending
59,18,2025-06-06,Pending
60,24,2025-11-11,Pending
61,60,2024-09-14,Completed
62,10,2024-08-08,Pending
63,71,2025-01-08,Completed
64,7,2025-03-25,Cancelled
65,70,2025-01-14,Completed
66,12,2026-03-22,Completed
67,22,2024-11-17,Pending
68,63,2026-03-19,Pending
69,28,2025-02-17,Pending
70,8,2025-03-15,Completed
71,49,2025-04-14,Completed
72,50,2024-11-04,Pending
73,59,2024-08-09,Pending
74,55,2025-08-24,Cancelled
75,94,2026-03-06,Cancelled
76,85,2025-07-03,Cancelled
77,63,2024-12-17,Completed
78,25,2024-11-11,Pending
79,28,2025-05-25,Completed
80,75,2025-09-20,Cancelled
81,70,2026-01-31,Completed
82,96,2025-01-28,Pending
83,8,2025-08-26,Completed
84,75,2025-10-10,Pending
85,65,2026-05-12,Cancelled
86,21,2026-01-03,Completed
87,66,2026-04-21,Completed
88,24,2025-05-05,Completed
89,77,2024-09-27,Completed
90,87,2025-06-07,Completed
91,52,2026-06-03,Completed
92,73,2026-03-02,Completed
93,75,2024-09-04,Cancelled
94,6,2025-07-07,Cancelled
95,11,2024-08-17,Pending
96,85,2025-07-26,Cancelled
97,73,2026-07-19,Cancelled
98,41,2024-10-02,Pending
99,27,2026-06-03,Cancelled
100,92,2025-04-03,Pending
101,31,2025-10-24,Pending
102,51,2025-07-02,Completed
103,86,2025-10-22,Cancelled
104,39,2025-06-13,Pending
105,41,2026-02-05,Completed
106,2,2025-12-13,Pending
107,80,2025-06-23,Cancelled
108,13,2025-03-15,Completed
109,69,2024-10-31,Completed
110,65,2025-06-13,Pending
111,17,2024-08-19,Pending
112,9,2025-04-12,Completed
113,48,2024-12-14,Pending
114,21,2026-04-17,Pending
115,70,2025-11-26,Cancelled
116,39,2025-07-26,Cancelled
117,84,2026-05-11,Cancelled
118,2,2026-01-20,Cancelled
119,71,2026-07-18,Pending
120,85,2025-05-11,Completed
121,18,2024-10-10,Pending
122,15,2025-07-08,Completed
123,96,2026-05-20,Cancelled
124,20,2024-10-24,Pending
125,37,2025-02-07,Cancelled
126,27,2025-07-07,Cancelled
127,44,2025-11-03,Completed
128,88,2025-06-10,Cancelled
129,34,2025-09-13,Cancelled
130,63,2024-10-03,Pending
131,7,2025-06-06,Completed
132,82,2026-06-10,Pending
133,36,2025-03-31,Completed
134,1,2026-03-05,Pending
135,99,2025-04-23,Completed
136,82,2025-01-22,Pending
137,21,2025-04-18,Cancelled
138,57,2026-03-31,Cancelled
139,91,2024-12-11,Pending
140,72,2024-10-01,Completed
141,15,2025-09-03,Completed
142,89,2025-12-07,Completed
143,70,2024-10-30,Completed
144,48,2025-09-19,Cancelled
145,71,2025-09-03,Completed
146,56,2024-12-31,Completed
147,6,2026-07-07,Pending
148,47,2026-03-28,Completed
149,46,2025-05-01,Completed
150,88,2025-05-02,Completed
151,86,2026-02-18,Completed
152,46,2026-05-01,Cancelled
153,53,2025-12-17,Cancelled
154,96,2026-04-28,Completed
155,31,2024-11-25,Completed
156,23,2025-02-02,Pending
157,4,2024-10-21,Completed
158,95,2024-11-24,Pending
159,53,2025-02-17,Cancelled
160,95,2025-01-03,Completed
161,35,2024-12-15,Completed
162,90,2025-11-13,Completed
163,49,2024-11-29,Completed
164,61,2026-03-16,Completed
165,26,2026-03-15,Pending
166,45,2025-12-25,Pending
167,30,2024-09-30,Completed
168,4,2024-12-18,Cancelled
169,25,2026-03-26,Pending
170,43,2025-12-03,Pending
171,9,2025-08-21,Pending
172,45,2025-07-29,Cancelled
173,66,2026-03-11,Pending
174,87,2025-10-14,Cancelled
175,43,2026-03-16,Completed
176,15,2025-10-27,Pending
177,23,2025-07-17,Cancelled
178,34,2026-01-14,Completed
179,14,2026-07-21,Cancelled
180,56,2026-06-19,Pending
181,94,2025-10-15,Pending
182,56,2025-12-15,Cancelled
183,66,2025-12-09,Completed
184,50,2025-12-01,Cancelled
185,25,2025-04-11,Pending
186,6,2026-06-05,Cancelled
187,56,2025-12-03,Completed
188,67,2025-04-05,Cancelled
189,88,2024-11-28,Cancelled
190,95,2025-07-10,Cancelled
191,86,2024-09-25,Completed
192,47,2025-08-02,Pending
193,9,2025-07-12,Cancelled
194,43,2025-12-06,Cancelled
195,41,2025-03-26,Cancelled
196,16,2026-04-13,Cancelled
197,39,2025-03-04,Cancelled
198,40,2025-11-05,Cancelled
199,53,2024-09-15,Pending
200,52,2025-05-03,Cancelled
21,55,2025-10-17,Completed
