date,region,category,total_revenue,order_count,average_order_value
2025-01-01,Central,Beauty,1698078.21,35,48516.52
2025-01-01,Central,Books,2544516.07,41,62061.37
2025-01-01,Central,Clothing,1432191.86,31,46199.74
2025-01-01,Central,Electronics,1294852.31,29,44650.08
2025-01-01,Central,Grocery,2074205.23,31,66909.85
2025-01-01,Central,Home & Kitchen,1650659.44,35,47161.7
2025-01-01,Central,Sports,1916527.77,41,46744.58
2025-01-01,Central,Toys,2126770.56,34,62552.08
2025-01-01,East,Beauty,1650232.05,33,50007.03
2025-01-01,East,Books,1461709.48,28,52203.91
2025-01-01,East,Clothing,1124436.77,24,46851.53
2025-01-01,East,Electronics,1695545.37,30,56518.18
2025-01-01,East,Grocery,2141878.6,31,69092.86
2025-01-01,East,Home & Kitchen,1661945.48,32,51935.8
2025-01-01,East,Sports,943600.16,26,36292.31
2025-01-01,East,Toys,1528848.75,33,46328.75
2025-01-01,North,Beauty,1191294.04,25,47651.76
2025-01-01,North,Books,1255317.64,22,57059.89
2025-01-01,North,Clothing,905572.46,29,31226.64
2025-01-01,North,Electronics,1352796.52,26,52030.64
2025-01-01,North,Grocery,1031546.03,22,46888.46
2025-01-01,North,Home & Kitchen,913196.92,20,45659.85
2025-01-01,North,Sports,811885.17,22,36903.87
2025-01-01,North,Toys,1373439.9,24,57226.66
2025-01-01,South,Beauty,1537448.05,30,51248.27
2025-01-01,South,Books,1454339.22,28,51940.69
2025-01-01,South,Clothing,1476585.09,23,64199.35
2025-01-01,South,Electronics,1190036.65,23,51740.72
2025-01-01,South,Grocery,1672457.36,35,47784.5
2025-01-01,South,Home & Kitchen,1657445.02,31,53465.97
2025-01-01,South,Sports,1749347.16,25,69973.89
2025-01-01,South,Toys,1735900.99,38,45681.61
2025-01-01,West,Beauty,1592200.62,27,58970.39
2025-01-01,West,Books,1038360.06,24,43265.0
2025-01-01,West,Clothing,1546501.52,22,70295.52
2025-01-01,West,Electronics,1423681.25,29,49092.46
2025-01-01,West,Grocery,2202428.24,35,62926.52
2025-01-01,West,Home & Kitchen,1801051.83,28,64323.28
2025-01-01,West,Sports,1850004.12,26,71154.0
2025-01-01,West,Toys,1992217.57,31,64265.08
2025-01-02,Central,Beauty,1116074.56,30,37202.49
2025-01-02,Central,Books,1505061.2,30,50168.71
2025-01-02,Central,Clothing,1495714.58,38,39360.91
2025-01-02,Central,Electronics,1438839.29,28,51387.12
2025-01-02,Central,Grocery,1384796.67,27,51288.77
2025-01-02,Central,Home & Kitchen,951051.02,23,41350.04
2025-01-02,Central,Sports,626965.1,17,36880.3
2025-01-02,Central,Toys,1467112.43,28,52396.87
2025-01-02,East,Beauty,1791987.38,32,55999.61
2025-01-02,East,Books,1495226.0,27,55378.74
2025-01-02,East,Clothing,1341880.61,28,47924.31
2025-01-02,East,Electronics,2103718.55,39,53941.5
2025-01-02,East,Grocery,1198731.81,25,47949.27
2025-01-02,East,Home & Kitchen,1281739.19,23,55727.79
2025-01-02,East,Sports,1446369.69,30,48212.32
2025-01-02,East,Toys,2554100.85,39,65489.77
2025-01-02,North,Beauty,2078902.31,30,69296.74
2025-01-02,North,Books,2081437.94,31,67143.16
2025-01-02,North,Clothing,1197538.32,27,44353.27
2025-01-02,North,Electronics,1750657.42,27,64839.16
2025-01-02,North,Grocery,1995940.85,34,58704.14
2025-01-02,North,Home & Kitchen,1961341.82,28,70047.92
2025-01-02,North,Sports,1484443.91,33,44983.15
2025-01-02,North,Toys,1271379.35,30,42379.31
2025-01-02,South,Beauty,1357224.72,25,54288.99
2025-01-02,South,Books,1541885.64,28,55067.34
2025-01-02,South,Clothing,828936.45,18,46052.02
2025-01-02,South,Electronics,1034595.0,25,41383.8
2025-01-02,South,Grocery,1709086.71,31,55131.83
2025-01-02,South,Home & Kitchen,1604358.53,24,66848.27
2025-01-02,South,Sports,1414611.73,28,50521.85
2025-01-02,South,Toys,1239323.91,24,51638.5
2025-01-02,West,Beauty,1816728.6,29,62645.81
2025-01-02,West,Books,1329119.98,29,45831.72
2025-01-02,West,Clothing,1150205.72,23,50008.94
2025-01-02,West,Electronics,1580835.81,28,56458.42
2025-01-02,West,Grocery,1374629.96,30,45821.0
2025-01-02,West,Home & Kitchen,1342508.1,27,49722.52
2025-01-02,West,Sports,1454607.43,27,53874.35
2025-01-02,West,Toys,2231322.72,31,71978.15
2025-01-03,Central,Beauty,1308240.71,24,54510.03
2025-01-03,Central,Books,1330437.17,29,45877.14
2025-01-03,Central,Clothing,1542571.89,29,53192.13
2025-01-03,Central,Electronics,883864.75,20,44193.24
2025-01-03,Central,Grocery,1692233.61,33,51279.81
2025-01-03,Central,Home & Kitchen,1869172.52,34,54975.66
2025-01-03,Central,Sports,1976722.97,32,61772.59
2025-01-03,Central,Toys,1825906.3,35,52168.75
2025-01-03,East,Beauty,1295552.77,26,49828.95
2025-01-03,East,Books,1618437.22,33,49043.55
2025-01-03,East,Clothing,1369962.6,25,54798.5
2025-01-03,East,Electronics,998582.52,22,45390.11
2025-01-03,East,Grocery,1379365.33,27,51087.6
2025-01-03,East,Home & Kitchen,1872813.3,31,60413.33
2025-01-03,East,Sports,1140419.89,28,40729.28
2025-01-03,East,Toys,2215160.93,34,65151.79
2025-01-03,North,Beauty,1275280.96,23,55447.0
2025-01-03,North,Books,1679497.16,24,69979.05
2025-01-03,North,Clothing,1057030.05,21,50334.76
2025-01-03,North,Electronics,1456233.98,24,60676.42
2025-01-03,North,Grocery,2044340.49,34,60127.66
2025-01-03,North,Home & Kitchen,1151972.76,21,54855.85
2025-01-03,North,Sports,1531767.23,25,61270.69
2025-01-03,North,Toys,796641.38,25,31865.66
2025-01-03,South,Beauty,1304692.39,25,52187.7
2025-01-03,South,Books,1202332.14,28,42940.43
2025-01-03,South,Clothing,1665585.44,32,52049.55
2025-01-03,South,Electronics,1258408.79,24,52433.7
2025-01-03,South,Grocery,1431221.22,30,47707.37
2025-01-03,South,Home & Kitchen,1415686.69,23,61551.6
2025-01-03,South,Sports,1855712.07,31,59861.68
2025-01-03,South,Toys,1909726.56,27,70730.61
2025-01-03,West,Beauty,568266.91,20,28413.35
2025-01-03,West,Books,1696076.48,25,67843.06
2025-01-03,West,Clothing,936993.39,23,40738.84
2025-01-03,West,Electronics,652911.21,15,43527.41
2025-01-03,West,Grocery,1124798.54,24,46866.61
2025-01-03,West,Home & Kitchen,874750.83,20,43737.54
2025-01-03,West,Sports,1305141.18,22,59324.6
2025-01-03,West,Toys,1603939.72,32,50123.12
2025-01-04,Central,Beauty,1583466.22,28,56552.37
2025-01-04,Central,Books,888477.86,25,35539.11
2025-01-04,Central,Clothing,1195236.14,25,47809.45
2025-01-04,Central,Electronics,1261667.68,27,46728.43
2025-01-04,Central,Grocery,1348641.62,28,48165.77
2025-01-04,Central,Home & Kitchen,1555710.01,32,48615.94
2025-01-04,Central,Sports,2112326.93,35,60352.2
2025-01-04,Central,Toys,1346895.13,30,44896.5
2025-01-04,East,Beauty,1181033.99,29,40725.31
2025-01-04,East,Books,1635430.7,39,41934.12
2025-01-04,East,Clothing,2016975.7,35,57627.88
2025-01-04,East,Electronics,2503409.37,39,64189.98
2025-01-04,East,Grocery,1674428.13,28,59801.0
2025-01-04,East,Home & Kitchen,1856326.81,31,59881.51
2025-01-04,East,Sports,2549148.75,43,59282.53
2025-01-04,East,Toys,2374024.57,41,57903.04
2025-01-04,North,Beauty,1742259.18,32,54445.6
2025-01-04,North,Books,1412658.38,23,61419.93
2025-01-04,North,Clothing,1250755.03,27,46324.26
2025-01-04,North,Electronics,1728343.76,31,55753.02
2025-01-04,North,Grocery,2035558.65,35,58158.82
2025-01-04,North,Home & Kitchen,1146169.96,26,44083.46
2025-01-04,North,Sports,1723048.55,33,52213.59
2025-01-04,North,Toys,1621031.84,29,55897.65
2025-01-04,South,Beauty,1898165.22,35,54233.29
2025-01-04,South,Books,1226051.68,26,47155.83
2025-01-04,South,Clothing,1003476.91,18,55748.72
2025-01-04,South,Electronics,1129277.89,23,49099.04
2025-01-04,South,Grocery,1201757.58,19,63250.4
2025-01-04,South,Home & Kitchen,1066091.5,24,44420.48
2025-01-04,South,Sports,685332.31,22,31151.47
2025-01-04,South,Toys,1727501.52,30,57583.38
2025-01-04,West,Beauty,1741142.32,39,44644.67
2025-01-04,West,Books,1669570.55,34,49105.02
2025-01-04,West,Clothing,1747718.45,34,51403.48
2025-01-04,West,Electronics,1940627.69,41,47332.38
2025-01-04,West,Grocery,2097616.27,32,65550.51
2025-01-04,West,Home & Kitchen,2251819.65,40,56295.49
2025-01-04,West,Sports,1932644.73,34,56842.49
2025-01-04,West,Toys,1765472.21,34,51925.65
2025-01-05,Central,Beauty,1491648.75,29,51436.16
2025-01-05,Central,Books,1296357.83,26,49859.92
2025-01-05,Central,Clothing,2286498.74,32,71453.09
2025-01-05,Central,Electronics,1384796.18,29,47751.59
2025-01-05,Central,Grocery,1391509.47,32,43484.67
2025-01-05,Central,Home & Kitchen,1350638.23,29,46573.73
2025-01-05,Central,Sports,1668752.17,32,52148.51
2025-01-05,Central,Toys,1966734.22,33,59598.01
2025-01-05,East,Beauty,1394755.09,26,53644.43
2025-01-05,East,Books,1331412.35,28,47550.44
2025-01-05,East,Clothing,1614530.07,25,64581.2
2025-01-05,East,Electronics,1192633.57,26,45870.52
2025-01-05,East,Grocery,1852838.72,32,57901.21
2025-01-05,East,Home & Kitchen,1644752.83,33,49840.99
2025-01-05,East,Sports,1407423.71,27,52126.8
2025-01-05,East,Toys,1216769.67,26,46798.83
2025-01-05,North,Beauty,1137667.93,26,43756.46
2025-01-05,North,Books,1873173.42,33,56762.83
2025-01-05,North,Clothing,1569825.74,28,56065.21
2025-01-05,North,Electronics,1306232.84,26,50239.72
2025-01-05,North,Grocery,1804033.94,33,54667.7
2025-01-05,North,Home & Kitchen,1489993.84,31,48064.32
2025-01-05,North,Sports,2169991.32,34,63823.27
2025-01-05,North,Toys,1641119.75,32,51284.99
2025-01-05,South,Beauty,2023522.66,31,65274.92
2025-01-05,South,Books,1905226.57,28,68043.81
2025-01-05,South,Clothing,1142550.36,26,43944.24
2025-01-05,South,Electronics,1128127.66,23,49049.03
2025-01-05,South,Grocery,2305022.3,38,60658.48
2025-01-05,South,Home & Kitchen,1378778.07,29,47544.07
2025-01-05,South,Sports,1272205.26,32,39756.41
2025-01-05,South,Toys,1475433.37,31,47594.62
2025-01-05,West,Beauty,863770.7,22,39262.3
2025-01-05,West,Books,1683864.19,27,62365.34
2025-01-05,West,Clothing,789596.12,17,46446.83
2025-01-05,West,Electronics,1323569.85,25,52942.79
2025-01-05,West,Grocery,1398058.92,27,51779.96
2025-01-05,West,Home & Kitchen,1636136.84,32,51129.28
2025-01-05,West,Sports,646950.0,16,40434.38
2025-01-05,West,Toys,1760839.27,28,62887.12
2025-01-06,Central,Beauty,603962.13,17,35527.18
2025-01-06,Central,Books,1352036.88,27,50075.44
2025-01-06,Central,Clothing,1308942.32,27,48479.35
2025-01-06,Central,Electronics,1501305.73,20,75065.29
2025-01-06,Central,Grocery,1618828.69,32,50588.4
2025-01-06,Central,Home & Kitchen,1124980.61,27,41665.95
2025-01-06,Central,Sports,1974639.48,29,68091.02
2025-01-06,Central,Toys,1939533.77,36,53875.94
2025-01-06,East,Beauty,1107255.68,22,50329.8
2025-01-06,East,Books,1227859.03,31,39608.36
2025-01-06,East,Clothing,668371.84,20,33418.59
2025-01-06,East,Electronics,1320579.78,23,57416.51
2025-01-06,East,Grocery,1097554.94,28,39198.39
2025-01-06,East,Home & Kitchen,1396118.36,25,55844.73
2025-01-06,East,Sports,1255918.54,29,43307.54
2025-01-06,East,Toys,1948556.08,29,67191.59
2025-01-06,North,Beauty,1385718.59,29,47783.4
2025-01-06,North,Books,1743105.11,30,58103.5
2025-01-06,North,Clothing,1541098.02,25,61643.92
2025-01-06,North,Electronics,1279552.43,26,49213.56
2025-01-06,North,Grocery,1388723.54,32,43397.61
2025-01-06,North,Home & Kitchen,1754904.42,26,67496.32
2025-01-06,North,Sports,1291707.83,22,58713.99
2025-01-06,North,Toys,1580710.35,26,60796.55
2025-01-06,South,Beauty,936938.36,27,34701.42
2025-01-06,South,Books,1618928.98,27,59960.33
2025-01-06,South,Clothing,2075890.43,37,56105.15
