date,warehouse_id,region,total_orders,delivered_orders,cancelled_orders,shipped_orders,delivery_rate_pct,cancellation_rate_pct,shipment_rate_pct
2025-01-01,WH-BLR,Central,17,3,6,4,17.65,35.29,23.53
2025-01-01,WH-BLR,East,20,6,2,4,30.0,10.0,20.0
2025-01-01,WH-BLR,North,32,8,7,5,25.0,21.88,15.63
2025-01-01,WH-BLR,South,20,2,3,3,10.0,15.0,15.0
2025-01-01,WH-BLR,West,16,0,2,5,0.0,12.5,31.25
2025-01-01,WH-CHE,Central,23,5,6,3,21.74,26.09,13.04
2025-01-01,WH-CHE,East,17,7,2,2,41.18,11.76,11.76
2025-01-01,WH-CHE,North,15,5,4,1,33.33,26.67,6.67
2025-01-01,WH-CHE,South,15,3,3,3,20.0,20.0,20.0
2025-01-01,WH-CHE,West,20,5,5,1,25.0,25.0,5.0
2025-01-01,WH-DEL,Central,18,4,2,3,22.22,11.11,16.67
2025-01-01,WH-DEL,East,20,4,3,5,20.0,15.0,25.0
2025-01-01,WH-DEL,North,12,0,6,5,0.0,50.0,41.67
2025-01-01,WH-DEL,South,20,3,5,4,15.0,25.0,20.0
2025-01-01,WH-DEL,West,28,6,4,8,21.43,14.29,28.57
2025-01-01,WH-HYD,Central,23,4,4,7,17.39,17.39,30.43
2025-01-01,WH-HYD,East,17,4,2,8,23.53,11.76,47.06
2025-01-01,WH-HYD,North,15,2,3,3,13.33,20.0,20.0
2025-01-01,WH-HYD,South,15,5,3,1,33.33,20.0,6.67
2025-01-01,WH-HYD,West,22,5,6,4,22.73,27.27,18.18
2025-01-01,WH-MUM,Central,30,3,6,4,10.0,20.0,13.33
2025-01-01,WH-MUM,East,20,4,6,3,20.0,30.0,15.0
2025-01-01,WH-MUM,North,13,1,5,2,7.69,38.46,15.38
2025-01-01,WH-MUM,South,22,4,5,6,18.18,22.73,27.27
2025-01-01,WH-MUM,West,23,5,7,3,21.74,30.43,13.04
2025-01-02,WH-BLR,Central,19,5,3,2,26.32,15.79,10.53
