sku_id,product_name,category,warehouse_id,stock_quantity,reorder_level,unit_cost,demand_30_day,stock_status,reorder_flag,inventory_value
SKU00001,Open-architected maximized time-frame,Books,WH-MUM,0.0,51.0,9076.16,180.0,stockout,YES,0.0
SKU00002,Ergonomic empowering workforce,Clothing,WH-DEL,557.0,86.0,6597.28,169.0,overstock,NO,3674684.96
SKU00003,Multi-lateral dynamic utilization,Beauty,WH-DEL,1798.0,90.0,8386.89,228.0,overstock,NO,15079628.22
SKU00004,Integrated 6thgeneration frame,Grocery,WH-MUM,1839.0,23.0,13021.31,308.0,overstock,NO,23946189.09
SKU00005,Upgradable mission-critical implementation,Books,WH-DEL,76.0,99.0,6116.95,158.0,below_reorder,YES,464888.2
SKU00006,Focused 24/7 solution,Toys,WH-BLR,1225.0,55.0,3537.4,105.0,overstock,NO,4333315.0
SKU00007,Future-proofed homogeneous challenge,Clothing,WH-CHE,1481.0,42.0,12380.98,240.0,overstock,NO,18336231.38
SKU00008,Pre-emptive non-volatile access,Books,WH-MUM,797.0,16.0,1452.55,162.0,overstock,NO,1157682.35
SKU00009,Integrated human-resource solution,Books,WH-HYD,1580.0,86.0,179.72,256.0,overstock,NO,283957.6
SKU00010,User-friendly system-worthy parallelism,Beauty,WH-DEL,1273.0,93.0,11638.79,244.0,overstock,NO,14816179.67
SKU00011,Profit-focused zero administration access,Toys,WH-BLR,626.0,84.0,10451.66,234.0,overstock,NO,6542739.16
SKU00012,Function-based eco-centric functionalities,Grocery,WH-DEL,568.0,81.0,2077.39,207.0,overstock,NO,1179957.52
SKU00013,Sharable value-added ability,Home & Kitchen,WH-HYD,943.0,91.0,10554.14,213.0,overstock,NO,9952554.02
SKU00014,Optimized multimedia artificial intelligence,Beauty,WH-DEL,1557.0,63.0,9780.21,159.0,overstock,NO,15227786.97
SKU00015,Enterprise-wide fresh-thinking access,Clothing,WH-MUM,422.0,89.0,1044.81,275.0,overstock,NO,440909.82
SKU00016,Cross-platform tangible throughput,Books,WH-DEL,927.0,71.0,14017.87,209.0,overstock,NO,12994565.49
SKU00017,Public-key logistical structure,Clothing,WH-BLR,463.0,11.0,7208.39,206.0,overstock,NO,3337484.57
SKU00018,Sharable upward-trending policy,Sports,WH-MUM,351.0,44.0,2032.43,167.0,overstock,NO,713382.93
SKU00019,Ameliorated zero tolerance capacity,Books,WH-HYD,125.0,96.0,12170.84,200.0,healthy,NO,1521355.0
SKU00020,Implemented static Graphic Interface,Home & Kitchen,WH-BLR,888.0,49.0,11016.12,181.0,overstock,NO,9782314.56
SKU00021,User-centric multi-state open architecture,Clothing,WH-BLR,204.0,47.0,13378.82,176.0,overstock,NO,2729279.28
SKU00022,Function-based cohesive task-force,Home & Kitchen,WH-CHE,1990.0,44.0,4483.14,150.0,overstock,NO,8921448.6
SKU00023,Enterprise-wide full-range info-mediaries,Electronics,WH-MUM,572.0,57.0,2402.26,184.0,overstock,NO,1374092.72
SKU00024,Quality-focused 3rdgeneration hub,Sports,WH-DEL,718.0,25.0,6616.31,202.0,overstock,NO,4750510.58
SKU00025,Progressive uniform time-frame,Toys,WH-HYD,688.0,45.0,9877.68,286.0,overstock,NO,6795843.84
SKU00026,Multi-lateral grid-enabled array,Sports,WH-BLR,1013.0,34.0,1590.6,196.0,overstock,NO,1611277.8
SKU00027,Face-to-face fault-tolerant core,Clothing,WH-DEL,957.0,50.0,13463.96,203.0,overstock,NO,12885009.72
SKU00028,User-centric disintermediate process improvement,Home & Kitchen,WH-DEL,665.0,97.0,4536.22,265.0,overstock,NO,3016586.3
SKU00029,Exclusive uniform toolset,Electronics,WH-MUM,1688.0,59.0,7653.13,220.0,overstock,NO,12918483.44
SKU00030,Decentralized discrete strategy,Clothing,WH-BLR,408.0,59.0,456.06,233.0,overstock,NO,186072.48
SKU00031,Function-based multimedia array,Sports,WH-CHE,1183.0,32.0,2759.52,220.0,overstock,NO,3264512.16
SKU00032,Re-engineered neutral monitoring,Home & Kitchen,WH-HYD,782.0,65.0,3665.84,255.0,overstock,NO,2866686.88
SKU00033,Stand-alone zero administration toolset,Toys,WH-MUM,1587.0,82.0,9019.23,217.0,overstock,NO,14313518.01
SKU00034,Persistent logistical migration,Books,WH-DEL,0.0,82.0,3514.11,221.0,stockout,YES,0.0
SKU00035,Switchable eco-centric service-desk,Clothing,WH-CHE,1280.0,34.0,12529.73,203.0,overstock,NO,16038054.4
SKU00036,Decentralized high-level orchestration,Electronics,WH-MUM,1624.0,49.0,12544.83,206.0,overstock,NO,20372803.92
SKU00037,User-friendly fresh-thinking Graphic Interface,Sports,WH-MUM,1758.0,47.0,9822.89,154.0,overstock,NO,17268640.62
SKU00038,Fully-configurable optimal groupware,Toys,WH-CHE,363.0,34.0,6398.37,187.0,overstock,NO,2322608.31
SKU00039,Down-sized grid-enabled Graphical User Interface,Toys,WH-BLR,1650.0,96.0,2910.17,150.0,overstock,NO,4801780.5
SKU00040,Centralized maximized hardware,Books,WH-MUM,527.0,70.0,14286.47,217.0,overstock,NO,7528969.69
SKU00041,Innovative systematic product,Clothing,WH-CHE,1510.0,58.0,14089.11,130.0,overstock,NO,21274556.1
SKU00042,Enhanced web-enabled implementation,Sports,WH-HYD,1039.0,56.0,10988.24,211.0,overstock,NO,11416781.36
SKU00043,Ergonomic dedicated installation,Home & Kitchen,WH-CHE,1489.0,32.0,4299.97,159.0,overstock,NO,6402655.33
SKU00044,Function-based full-range workforce,Home & Kitchen,WH-DEL,703.0,67.0,8339.55,199.0,overstock,NO,5862703.65
SKU00045,Compatible regional implementation,Books,WH-DEL,1705.0,83.0,5133.39,228.0,overstock,NO,8752429.95
SKU00046,Proactive impactful function,Home & Kitchen,WH-CHE,1746.0,91.0,14612.51,183.0,overstock,NO,25513442.46
SKU00047,Right-sized real-time adapter,Beauty,WH-HYD,1800.0,90.0,9151.24,170.0,overstock,NO,16472232.0
SKU00048,Multi-layered maximized throughput,Books,WH-CHE,1652.0,64.0,8561.31,205.0,overstock,NO,14143284.12
SKU00049,Automated multimedia neural-net,Beauty,WH-DEL,1230.0,70.0,3182.46,190.0,overstock,NO,3914425.8
SKU00050,Decentralized system-worthy matrices,Beauty,WH-DEL,937.0,80.0,719.78,194.0,overstock,NO,674433.86
SKU00051,Fundamental impactful superstructure,Books,WH-CHE,1560.0,85.0,117.73,222.0,overstock,NO,183658.8
SKU00052,Cross-group didactic moratorium,Sports,WH-HYD,1041.0,37.0,2088.79,228.0,overstock,NO,2174430.39
SKU00053,Organic neutral pricing structure,Sports,WH-HYD,1250.0,95.0,11106.6,197.0,overstock,NO,13883250.0
SKU00054,Down-sized systemic model,Toys,WH-CHE,1206.0,88.0,6474.01,231.0,overstock,NO,7807656.06
