item_id,order_id,sku_id,product_name,category,quantity,unit_price,line_total,load_ts,bronze_ingestion_timestamp,source_file_name,load_date,quarantine_reason
ITEM000000131,ORD00038401,SKU02276,Profit-focused actuating circuit,Toys,7.0,10980.16,76861.12,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000000242,ORD00021801,SKU01589,Grass-roots local complexity,Clothing,10.0,2141.92,21419.2,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000000412,ORD00029101,SKU02250,Multi-channeled clear-thinking archive,Beauty,6.0,4154.89,24929.34,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000000561,ORD00005901,SKU04147,Fundamental non-volatile knowledgebase,Toys,6.0,319.77,1918.62,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000000649,ORD00015501,SKU04301,Organized attitude-oriented Internet solution,Beauty,2.0,14733.32,29466.64,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000000684,ORD00009601,SKU01073,Quality-focused bifurcated frame,Beauty,2.0,11280.85,22561.7,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000000725,ORD00038501,SKU03354,Synergized intangible encryption,Electronics,10.0,6246.85,62468.5,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000000740,ORD00003101,SKU02005,Assimilated mission-critical secured line,Sports,9.0,7227.6,65048.4,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000000903,ORD00041201,SKU01004,Centralized heuristic model,Toys,2.0,13789.78,27579.56,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000000976,ORD00001201,SKU02879,Upgradable fault-tolerant array,Electronics,4.0,5844.6,23378.4,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000001126,ORD00012101,SKU04567,Persistent system-worthy moderator,Grocery,7.0,12557.67,87903.69,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000001286,ORD00039201,SKU02854,Cloned tertiary alliance,Clothing,4.0,1543.04,6172.16,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000001460,ORD00039801,SKU01225,Decentralized regional extranet,Beauty,6.0,3339.88,20039.28,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000001462,ORD00005601,SKU03695,Phased zero-defect Internet solution,Clothing,2.0,9333.73,18667.46,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000001750,ORD00026501,SKU04661,Balanced upward-trending framework,Electronics,5.0,3209.34,16046.7,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000001768,ORD00006201,SKU00031,Function-based multimedia array,Sports,3.0,2759.52,8278.56,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000001784,ORD00035801,SKU00464,Cross-group 6thgeneration algorithm,Electronics,7.0,4750.16,33251.12,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000002039,ORD00012901,SKU00284,Right-sized 3rdgeneration capacity,Clothing,5.0,1685.16,8425.8,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000002169,ORD00015101,SKU03140,Triple-buffered systematic installation,Home & Kitchen,6.0,7241.55,43449.3,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000002311,ORD00017501,SKU04876,Enterprise-wide modular extranet,Grocery,10.0,13390.5,133905.0,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000002697,ORD00036501,SKU00486,Decentralized exuding ability,Sports,3.0,3771.71,11315.13,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000002825,ORD00047401,SKU00760,Optional cohesive Local Area Network,Grocery,6.0,14542.74,87256.44,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000003131,ORD00003701,SKU02976,Streamlined directional definition,Books,2.0,5581.97,11163.94,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000003171,ORD00004201,SKU04318,Grass-roots object-oriented adapter,Toys,2.0,5071.73,10143.46,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000003179,ORD00019501,SKU01338,De-engineered uniform array,Home & Kitchen,2.0,3002.3,6004.6,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000003185,ORD00014201,SKU04797,Digitized client-driven hub,Toys,3.0,5618.16,16854.48,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000003664,ORD00005301,SKU02303,Open-source logistical collaboration,Sports,3.0,2357.68,7073.04,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000003706,ORD00025401,SKU01500,Team-oriented methodical collaboration,Sports,2.0,7757.76,15515.52,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000003768,ORD00042801,SKU02377,Up-sized attitude-oriented framework,Sports,1.0,2717.8,2717.8,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000003860,ORD00004101,SKU04661,Balanced upward-trending framework,Electronics,7.0,3209.34,22465.38,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000003919,ORD00027701,SKU03137,Distributed leadingedge algorithm,Books,3.0,5438.01,16314.03,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000003998,ORD00026701,SKU04377,Inverse intermediate neural-net,Books,8.0,6243.4,49947.2,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000004022,ORD00000501,SKU00364,Synchronized clear-thinking access,Clothing,10.0,14429.61,144296.1,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000004259,ORD00010101,SKU04323,Fully-configurable next generation task-force,Grocery,2.0,12369.07,24738.14,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000004288,ORD00032601,SKU00405,Balanced cohesive array,Home & Kitchen,3.0,5220.11,15660.33,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000004432,ORD00030401,SKU02275,Distributed discrete knowledge user,Electronics,6.0,7696.18,46177.08,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000004451,ORD00004301,SKU02204,Mandatory multimedia model,Books,4.0,11416.97,45667.88,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000004520,ORD00016601,SKU00904,Future-proofed global model,Electronics,2.0,2483.28,4966.56,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000004596,ORD00048501,SKU03427,Reduced clear-thinking migration,Books,1.0,8452.09,8452.09,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000004666,ORD00013701,SKU04286,Self-enabling 5thgeneration attitude,Beauty,5.0,2623.26,13116.3,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000004909,ORD00015301,SKU01742,Enhanced executive support,Books,6.0,9786.95,58721.7,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000005008,ORD00007201,SKU00782,Realigned encompassing system engine,Beauty,3.0,1439.09,4317.27,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000005070,ORD00005101,SKU01444,Balanced regional projection,Beauty,9.0,9084.38,81759.42,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000005094,ORD00016601,SKU03443,Programmable user-facing instruction set,Toys,8.0,549.23,4393.84,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000005124,ORD00025001,SKU02701,Adaptive eco-centric capability,Books,9.0,1125.84,10132.56,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000005266,ORD00044701,SKU03980,Pre-emptive well-modulated focus group,Home & Kitchen,9.0,9891.42,89022.78,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000005391,ORD00021601,SKU04343,Advanced systematic product,Clothing,5.0,14643.7,73218.5,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000005569,ORD00020001,SKU01707,Object-based didactic alliance,Beauty,9.0,8835.55,79519.95,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000005700,ORD00023001,SKU04425,Synergistic optimal groupware,Electronics,8.0,10638.99,85111.92,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000005737,ORD00019401,SKU00623,Monitored cohesive open system,Home & Kitchen,2.0,3119.03,6238.06,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000005844,ORD00032701,SKU02585,User-centric web-enabled encryption,Clothing,3.0,8596.21,25788.63,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000005907,ORD00003501,SKU03327,Upgradable leadingedge approach,Books,10.0,9097.93,90979.3,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000005940,ORD00039101,SKU03599,Cloned system-worthy leverage,Clothing,4.0,1955.74,7822.96,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000006011,ORD00016901,SKU02063,Fundamental contextually-based process improvement,Clothing,5.0,7931.79,39658.95,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000006130,ORD00009401,SKU02416,Extended global pricing structure,Clothing,8.0,12151.99,97215.92,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000006318,ORD00030701,SKU04707,Phased empowering middleware,Grocery,6.0,1713.35,10280.1,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000006337,ORD00007201,SKU01379,Total content-based conglomeration,Home & Kitchen,3.0,12604.74,37814.22,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
ITEM000006413,ORD00031901,SKU04681,Profit-focused bifurcated data-warehouse,Sports,4.0,1236.38,4945.52,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Order ID not found in orders
