item_id,order_id,sku_id,product_name,category,quantity,unit_price,line_total,load_ts,bronze_ingestion_timestamp,source_file_name,load_date,quarantine_reason
ITEM000000001,ORD00022044,SKU00069,Organized grid-enabled access,Beauty,,-882.67,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000000068,ORD00025619,SKU04829,Adaptive uniform support,Clothing,,5139.6,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000000101,ORD00029032,SKU01612,Organized multi-tasking emulation,Home & Kitchen,3.0,-9871.2,-29613.600000000002,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Negative unit_price
ITEM000000135,ORD00018413,SKU04742,Pre-emptive value-added application,Clothing,,6224.8,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000000201,ORD00002434,SKU04960,Re-contextualized neutral definition,Books,4.0,-3168.71,-12674.84,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Negative unit_price
ITEM000000202,ORD00028957,SKU03087,Grass-roots fresh-thinking circuit,Sports,,7036.17,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000000269,ORD00001382,SKU03924,Function-based full-range model,Electronics,,9150.02,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000000301,ORD00046168,SKU00483,Self-enabling asymmetric process improvement,Toys,7.0,-6769.13,-47383.91,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Negative unit_price
ITEM000000336,ORD00042993,SKU01203,Grass-roots well-modulated hub,Electronics,,10099.54,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000000401,ORD00001253,SKU00166,Realigned modular archive,Sports,7.0,-241.27,-1688.89,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Negative unit_price
ITEM000000403,ORD00001040,SKU04342,De-engineered 4thgeneration functionalities,Home & Kitchen,,9639.05,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000000470,ORD00014932,SKU00540,Business-focused user-facing hierarchy,Home & Kitchen,,12246.51,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000000501,ORD00020381,SKU00511,Total multi-state hub,Clothing,10.0,-12754.52,-127545.20000000001,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Negative unit_price
ITEM000000537,ORD00022143,SKU03570,Optional real-time help-desk,Toys,,12226.36,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000000601,ORD00024750,SKU01013,Inverse value-added budgetary management,Beauty,7.0,-11482.48,-80377.36,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Negative unit_price
ITEM000000604,ORD00029497,SKU02548,Business-focused regional capacity,Toys,,4539.8,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000000671,ORD00002730,SKU03182,Cross-group motivating core,Sports,,885.31,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000000701,ORD00039245,SKU01720,Phased intangible superstructure,Grocery,4.0,-12757.37,-51029.48,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Negative unit_price
ITEM000000738,ORD00025559,SKU00246,Multi-tiered neutral groupware,Beauty,,7040.52,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000000801,ORD00007557,SKU04791,Cross-group leadingedge benchmark,Books,6.0,-12897.49,-77384.94,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Negative unit_price
ITEM000000805,ORD00025293,SKU02241,Digitized zero-defect standardization,Grocery,,1375.66,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000000872,ORD00021495,SKU02079,Horizontal reciprocal toolset,Books,,3563.84,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000000901,ORD00041192,SKU03568,Future-proofed modular toolset,Books,5.0,-12578.68,-62893.4,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Negative unit_price
ITEM000000939,ORD00027234,SKU04592,Open-architected maximized Local Area Network,Home & Kitchen,,11711.42,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000001001,ORD00015714,SKU04568,User-centric client-server productivity,Electronics,3.0,-14122.73,-42368.19,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Negative unit_price
ITEM000001006,ORD00023921,SKU03134,Cloned didactic hardware,Home & Kitchen,,12062.1,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
ITEM000001073,ORD00043597,SKU00667,Horizontal multimedia access,Beauty,,8964.05,,2025-04-17 06:00:00,2026-08-07 20:10:16,order_items.csv,2026-08-07,Missing quantity
