order_id,customer_id,order_date,status,total_amount,discount_amount,payment_method,warehouse_id,region,load_ts,bronze_ingestion_timestamp,source_file_name,load_date,quarantine_reason
ORD00000001,,2025-03-09 21:35:49,placed,18079.31,4993.93,debit_card,WH-CHE,North,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00000101,,2025-01-20 17:05:51,delivered,12417.18,3095.67,UPI,WH-CHE,North,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00000201,,2025-01-18 01:46:52,refunded,27255.23,5491.51,UPI,WH-DEL,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00000301,,2025-01-24 19:16:10,delivered,42637.31,6775.12,net_banking,WH-MUM,East,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00000401,,2025-03-29 02:36:37,placed,15107.65,2010.27,credit_card,WH-BLR,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00000501,,2025-01-13 11:15:59,shipped,2867.24,188.74,COD,WH-DEL,East,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00000601,,2025-01-21 11:20:36,cancelled,13546.7,3360.48,debit_card,WH-HYD,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00000701,,2025-01-14 15:42:06,shipped,7475.96,10.15,credit_card,WH-MUM,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00000801,,2025-01-30 06:17:47,placed,37915.4,6165.88,UPI,WH-BLR,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00000901,,2025-04-14 16:47:43,shipped,14781.48,1354.55,COD,WH-HYD,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00001001,,2025-02-05 03:09:46,cancelled,16292.71,1239.09,COD,WH-HYD,East,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00001101,,2025-01-28 12:10:38,cancelled,30568.86,1140.63,net_banking,WH-HYD,North,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00001201,,2025-03-25 04:35:08,unknown,18091.79,4960.96,credit_card,WH-MUM,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00001301,,2025-03-19 01:41:30,cancelled,2104.9,292.37,UPI,WH-CHE,North,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00001401,,2025-03-28 07:38:00,delivered,39048.93,11556.62,COD,WH-BLR,North,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00001501,,2025-02-19 09:49:02,delivered,44293.44,9726.15,UPI,WH-MUM,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00001601,,2025-01-27 12:00:58,unknown,41287.27,10147.17,debit_card,WH-CHE,East,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00001701,,2025-03-15 18:33:38,cancelled,36496.23,717.35,UPI,WH-DEL,West,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00001801,,2025-01-11 16:14:45,cancelled,9836.37,1738.16,debit_card,WH-CHE,North,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00001901,,2025-01-29 22:10:28,delivered,25463.25,237.95,COD,WH-MUM,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00002001,,2025-01-08 13:47:08,refunded,34319.58,8428.86,debit_card,WH-HYD,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00002101,,2025-03-17 13:13:47,delivered,13777.54,3902.4,debit_card,WH-BLR,North,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00002201,,2025-02-25 04:43:47,placed,1958.88,26.88,UPI,WH-CHE,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00002301,,2025-01-03 08:11:34,shipped,25921.68,2515.45,COD,WH-BLR,North,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00002401,,2025-03-16 17:28:24,placed,29133.95,4314.89,net_banking,WH-MUM,West,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00002501,,2025-02-24 02:11:02,placed,16254.96,2039.71,net_banking,WH-HYD,West,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00002601,,2025-03-24 12:54:14,refunded,45228.26,13244.4,COD,WH-CHE,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00002701,,2025-02-26 07:54:01,delivered,13350.21,3850.05,debit_card,WH-CHE,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00002801,,2025-03-20 01:38:18,placed,41953.6,7826.76,debit_card,WH-MUM,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00002901,,2025-01-13 17:11:16,delivered,47372.43,9367.63,UPI,WH-BLR,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00003001,,2025-04-12 01:53:56,shipped,35350.58,8901.56,UPI,WH-DEL,West,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00003101,,2025-04-16 12:04:58,cancelled,47126.01,10477.44,UPI,WH-CHE,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00003201,,2025-01-17 16:54:29,shipped,1573.32,299.67,UPI,WH-HYD,North,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00003301,,2025-03-01 22:10:17,placed,18466.12,1393.2,UPI,WH-CHE,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00003401,,2025-02-17 19:14:15,refunded,47069.37,1475.65,UPI,WH-HYD,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00003501,,2025-03-26 18:12:23,cancelled,4601.53,1129.85,credit_card,WH-CHE,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00003601,,2025-01-30 02:32:29,cancelled,10914.03,3053.64,debit_card,WH-MUM,West,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00003701,,2025-03-31 05:54:52,delivered,22061.68,2529.22,debit_card,WH-BLR,East,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00003801,,2025-02-16 01:24:06,shipped,42540.37,2352.58,net_banking,WH-DEL,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
ORD00003901,,2025-04-12 12:32:11,cancelled,48584.54,358.95,net_banking,WH-DEL,West,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07,Missing customer_id
