order_id,customer_id,order_date,status,total_amount,discount_amount,payment_method,warehouse_id,region,load_ts,bronze_ingestion_timestamp,source_file_name,load_date
ORD00000001,,2025-03-09 21:35:49,placed,18079.31,4993.93,debit_card,WH-CHE,North,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000002,CUST005368,2025-01-11 07:38:06,delivered,18686.12,5117.37,UPI,WH-BLR,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000003,CUST008905,2025-03-06 15:59:27,unknown,37342.13,5086.63,credit_card,WH-CHE,North,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000004,CUST007879,2025-02-23 03:43:08,delivered,48334.85,8979.02,credit_card,WH-BLR,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000005,CUST008514,2025-01-23 03:58:49,PENDING,5811.5,1665.29,UPI,WH-HYD,West,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000006,CUST001519,2025-03-08 05:45:29,refunded,32925.05,2494.44,net_banking,WH-DEL,North,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000007,CUST000062,2025-03-12 13:45:41,PENDING,20392.98,2539.08,debit_card,WH-HYD,West,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000008,CUST007016,2025-03-02 21:57:33,delivered,18165.58,3635.19,debit_card,WH-HYD,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000009,CUST008154,2025-03-26 04:32:02,refunded,24864.44,2689.67,COD,WH-BLR,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000010,CUST009823,2025-02-23 12:04:19,placed,33169.05,2801.85,debit_card,WH-MUM,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000011,CUST001676,2025-03-16 00:30:34,PENDING,9132.17,1175.42,UPI,WH-CHE,East,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000012,CUST001765,2025-03-02 14:16:25,delivered,19664.78,2270.85,debit_card,WH-CHE,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000013,CUST003829,2025-04-15 08:54:54,shipped,35645.25,10057.05,UPI,WH-MUM,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000014,CUST001421,2025-02-08 18:29:18,cancelled,4195.03,97.2,debit_card,WH-BLR,West,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000015,CUST001863,2025-01-01 22:27:38,cancelled,47317.41,2325.96,COD,WH-BLR,West,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000016,CUST003075,2025-02-07 04:09:30,shipped,22866.4,3056.88,debit_card,WH-MUM,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000017,CUST001807,2025-03-21 02:13:47,delivered,19075.16,3190.69,debit_card,WH-BLR,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000018,CUST008951,2025-02-23 01:58:03,shipped,47355.32,9398.06,credit_card,WH-MUM,East,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000019,CUST008120,2025-03-01 16:47:49,shipped,26433.4,3544.6,credit_card,WH-HYD,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000020,CUST009996,2025-03-23 12:44:22,delivered,28777.84,900.93,net_banking,WH-BLR,West,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000021,CUST005596,2025-01-11 18:58:32,delivered,29529.55,3409.47,COD,WH-MUM,East,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000022,CUST004302,2025-04-09 06:18:40,placed,6303.68,71.07,UPI,WH-BLR,East,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000023,CUST005132,2025-01-25 11:23:08,placed,44905.29,3898.58,UPI,WH-MUM,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000024,CUST007078,2025-01-02 04:15:41,shipped,27402.87,548.11,net_banking,WH-DEL,West,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000025,CUST000786,2025-03-15 21:53:03,refunded,32539.18,2459.18,credit_card,WH-BLR,East,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000026,CUST005332,2025-03-09 21:00:13,shipped,12347.73,3123.29,credit_card,WH-DEL,East,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000027,CUST006246,2025-01-22 04:47:51,cancelled,13876.84,1580.29,UPI,WH-DEL,East,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000028,CUST007767,2025-04-11 12:41:26,shipped,23811.0,1929.61,COD,WH-DEL,South,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000029,CUST004377,2025-01-14 08:37:34,placed,24620.74,115.23,credit_card,WH-HYD,North,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000030,CUST009402,2025-02-28 01:52:21,shipped,32153.45,8716.3,credit_card,WH-BLR,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000031,CUST005873,2025-03-11 17:43:26,placed,29162.77,2859.92,debit_card,WH-CHE,West,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000032,CUST003485,2025-04-01 16:22:26,shipped,1910.5,100.21,net_banking,WH-HYD,North,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
ORD00000033,CUST008479,2025-04-12 01:31:22,placed,12936.34,2012.56,credit_card,WH-HYD,Central,2025-04-17 06:00:00,2026-08-07 20:10:16,orders.csv,2026-08-07
